약국명,지역,주소,개설일자,경도,위도
시장약국,동대문구,서울특별시 동대문구 왕산로 143 1층 (제기동),20190322,127.0392621,37.5785943
새봄약국,동대문구,서울특별시 동대문구 왕산로 185 1층 105호 (청량리동),20190311,127.0438072,37.5801098
늘조은온누리약국,동대문구,서울특별시 동대문구 사가정로25길 66 1층 (장안동),20190401,127.0712250,37.5816759
쉐르빌우리약국,동대문구,"서울특별시 동대문구 장한로 119 323호 (장안동, 장안삼성쉐르빌)",20190401,127.0705625,37.5713000
사랑약국,동대문구,"서울특별시 동대문구 왕산로 151 2층 4,5호 (제기동)",20190401,127.0401920,37.5788683
한성약국,동대문구,서울특별시 동대문구 답십리로 140 세기프라자 106호 (답십리동),20190425,127.0555973,37.5724894
그린약국,동대문구,서울특별시 동대문구 장한로 129 102호 (장안동),20190603,127.0709407,37.5719997
하나약국,동대문구,서울특별시 동대문구 천호대로 273 1층 2호 (답십리동),20190307,127.0520554,37.5678418
허브약국,동대문구,서울특별시 동대문구 경희대로 19-3 1층 (회기동),20190902,127.0523658,37.5932403
종로수약국,종로구,서울특별시 종로구 종로 226 송화빌딩 1층 (종로5가),20190327,127.0028488,37.5707761
신아산약국,종로구,서울특별시 종로구 종로 255-2 1층 (종로5가),20190416,127.0062507,37.5713409
새명성약국,종로구,서울특별시 종로구 새문안로 85 1층 (신문로1가),20190611,126.9741249,37.5704241
건강약국,종로구,서울특별시 종로구 혜화로 2 1층 (혜화동),20190501,127.0009187,37.5860916
동대문연약국,종로구,서울특별시 종로구 종로 272 동대문종합시장 신관 신관동 지하1층 018호 (종로6가),20190304,127.0081219,37.5708266
창신사랑온누리약국,종로구,서울특별시 종로구 지봉로 77-3 1층 (창신동),20190121,127.0152523,37.5769107
힐링약국,종로구,서울특별시 종로구 종로5길 13 삼공빌딩 지하1층 (청진동),20190110,126.9804824,37.5710343
파란문약국,종로구,"서울특별시 종로구 송월길 155 1층 4112, 4113호 (교북동, 경희궁자이 4단지)",20190325,126.9612654,37.5716749
파랑새약국,종로구,서울특별시 종로구 대학로 121 1층 (명륜4가),20190207,127.0016089,37.5820514
정다운약국,종로구,서울특별시 종로구 종로 339 1층 (창신동),20190312,127.0151281,37.5731663
엄마약국,종로구,서울특별시 종로구 종로 193-1 1층 (종로4가),20190308,126.9991754,37.5710738
정원약국,종로구,서울특별시 종로구 통일로 262 4호 1층 (무악동),20190325,126.9570172,37.5755306
세검정약국,종로구,서울특별시 종로구 세검정로6길 104 1층 (신영동),20190524,126.9617969,37.6016358
종로백제약국,종로구,서울특별시 종로구 종로 235 백제약국 1층 (종로5가),20190304,127.0039946,37.5712609
센트로약국,종로구,서울특별시 종로구 우정국로 26 1층 1-9c호 (공평동),20190610,126.9835542,37.5715710
굿모닝약국,종로구,"서울특별시 종로구 경교장길 35 3137호 (평동, 경희궁자이 3단지)",20190730,126.9659909,37.5691438
광화문123약국,종로구,서울특별시 종로구 삼봉로 44 1층 (청진동),20190405,,
