일자,최고기온,최저기온,일교차
2019-10-01,27.4,15.7,11.7
2019-10-02,23.8,20.4,3.4
2019-10-03,27.8,19.9,7.9
2019-10-04,26.9,17.8,9.1
2019-10-05,22,15.7,6.3
2019-10-06,22,14,8.0
2019-10-07,17.9,13.4,4.5
2019-10-08,20.6,10.7,9.9
2019-10-09,19.6,6.4,13.2
2019-10-10,20.2,9.5,10.7
2019-10-11,24.8,12.1,12.7
2019-10-12,23.3,14.1,9.2
2019-10-13,22.9,12.5,10.4
2019-10-14,19.4,8.5,10.9
2019-10-15,19.6,7.3,12.3
2019-10-16,20,7.9,12.1
2019-10-17,20.6,9.1,11.5
2019-10-18,21.9,10,11.9
2019-10-19,22.2,10.4,11.8
2019-10-20,21.7,10.8,10.9
2019-10-21,23.9,9.5,14.4
2019-10-22,23,11.1,11.9
2019-10-23,20,12.4,7.6
2019-10-24,23.3,14.1,9.2
2019-10-25,21.7,10.7,11.0
2019-10-26,13.9,6.4,7.5
2019-10-27,16.8,3,13.8
2019-10-28,17.4,6.3,11.1
2019-10-29,18.1,8.2,9.9
2019-10-30,17.1,3.3,13.8
2019-10-31,20.4,7.3,13.1
